"Your input","Epoch timestamp","Converted epoch (double-check your input!)"
2013-01-28T01:42:13+01:00,1359333733,Mon, 28 Jan 2013 00:42:13 +0000
2013-01-28T01:42:14+01:00,1359333734,Mon, 28 Jan 2013 00:42:14 +0000
2013-01-28T01:42:15+01:00,1359333735,Mon, 28 Jan 2013 00:42:15 +0000
2013-01-28T01:42:16+01:00,1359333736,Mon, 28 Jan 2013 00:42:16 +0000
2013-01-28T01:42:17+01:00,1359333737,Mon, 28 Jan 2013 00:42:17 +0000
2013-01-28T01:42:18+01:00,1359333738,Mon, 28 Jan 2013 00:42:18 +0000
2013-01-28T01:42:19+01:00,1359333739,Mon, 28 Jan 2013 00:42:19 +0000
2013-01-28T01:42:20+01:00,1359333740,Mon, 28 Jan 2013 00:42:20 +0000
2013-01-28T01:42:21+01:00,1359333741,Mon, 28 Jan 2013 00:42:21 +0000
2013-01-28T01:42:22+01:00,1359333742,Mon, 28 Jan 2013 00:42:22 +0000
2013-01-28T01:42:23+01:00,1359333743,Mon, 28 Jan 2013 00:42:23 +0000
2013-01-28T01:42:24+01:00,1359333744,Mon, 28 Jan 2013 00:42:24 +0000
2013-01-28T01:42:25+01:00,1359333745,Mon, 28 Jan 2013 00:42:25 +0000
2013-01-28T01:42:26+01:00,1359333746,Mon, 28 Jan 2013 00:42:26 +0000
2013-01-28T01:42:27+01:00,1359333747,Mon, 28 Jan 2013 00:42:27 +0000
2013-01-28T01:42:28+01:00,1359333748,Mon, 28 Jan 2013 00:42:28 +0000
2013-01-28T01:42:29+01:00,1359333749,Mon, 28 Jan 2013 00:42:29 +0000
2013-01-28T01:42:30+01:00,1359333750,Mon, 28 Jan 2013 00:42:30 +0000
2013-01-28T01:42:31+01:00,1359333751,Mon, 28 Jan 2013 00:42:31 +0000
2013-01-28T01:42:32+01:00,1359333752,Mon, 28 Jan 2013 00:42:32 +0000
2013-01-28T01:42:33+01:00,1359333753,Mon, 28 Jan 2013 00:42:33 +0000
2013-01-28T01:42:34+01:00,1359333754,Mon, 28 Jan 2013 00:42:34 +0000
2013-01-28T01:42:35+01:00,1359333755,Mon, 28 Jan 2013 00:42:35 +0000
2013-01-28T01:42:36+01:00,1359333756,Mon, 28 Jan 2013 00:42:36 +0000
2013-01-28T01:42:37+01:00,1359333757,Mon, 28 Jan 2013 00:42:37 +0000
2013-01-28T01:42:38+01:00,1359333758,Mon, 28 Jan 2013 00:42:38 +0000
2013-01-28T01:42:39+01:00,1359333759,Mon, 28 Jan 2013 00:42:39 +0000
2013-01-28T01:42:40+01:00,1359333760,Mon, 28 Jan 2013 00:42:40 +0000
2013-01-28T01:42:41+01:00,1359333761,Mon, 28 Jan 2013 00:42:41 +0000
2013-01-28T01:42:42+01:00,1359333762,Mon, 28 Jan 2013 00:42:42 +0000
2013-01-28T01:42:43+01:00,1359333763,Mon, 28 Jan 2013 00:42:43 +0000
2013-01-28T01:42:44+01:00,1359333764,Mon, 28 Jan 2013 00:42:44 +0000
2013-01-28T01:42:45+01:00,1359333765,Mon, 28 Jan 2013 00:42:45 +0000
2013-01-28T01:42:46+01:00,1359333766,Mon, 28 Jan 2013 00:42:46 +0000
2013-01-28T01:42:47+01:00,1359333767,Mon, 28 Jan 2013 00:42:47 +0000
2013-01-28T01:42:48+01:00,1359333768,Mon, 28 Jan 2013 00:42:48 +0000
2013-01-28T01:42:49+01:00,1359333769,Mon, 28 Jan 2013 00:42:49 +0000
2013-01-28T01:42:50+01:00,1359333770,Mon, 28 Jan 2013 00:42:50 +0000
2013-01-28T01:42:51+01:00,1359333771,Mon, 28 Jan 2013 00:42:51 +0000
2013-01-28T01:42:52+01:00,1359333772,Mon, 28 Jan 2013 00:42:52 +0000
2013-01-28T01:42:53+01:00,1359333773,Mon, 28 Jan 2013 00:42:53 +0000
2013-01-28T01:42:54+01:00,1359333774,Mon, 28 Jan 2013 00:42:54 +0000
2013-01-28T01:42:55+01:00,1359333775,Mon, 28 Jan 2013 00:42:55 +0000
2013-01-28T01:42:56+01:00,1359333776,Mon, 28 Jan 2013 00:42:56 +0000
2013-01-28T01:42:57+01:00,1359333777,Mon, 28 Jan 2013 00:42:57 +0000
2013-01-28T01:42:58+01:00,1359333778,Mon, 28 Jan 2013 00:42:58 +0000
2013-01-28T01:42:59+01:00,1359333779,Mon, 28 Jan 2013 00:42:59 +0000
2013-01-28T01:43:00+01:00,1359333780,Mon, 28 Jan 2013 00:43:00 +0000
2013-01-28T01:43:01+01:00,1359333781,Mon, 28 Jan 2013 00:43:01 +0000
2013-01-28T01:43:02+01:00,1359333782,Mon, 28 Jan 2013 00:43:02 +0000
2013-01-28T01:43:03+01:00,1359333783,Mon, 28 Jan 2013 00:43:03 +0000
